"Timestamp","When did you start watching itswill?","How did you discover itswill?","How often do you watch itswill YouTube videos?","Are you subscribed to itswill on YouTube?","How often do you watch itswill?","How would you rate your overall experience watching itswill? ","Are you subscribed to itswill on Twitch?","Are you now or have you ever been banned in the itswill Livestream?","What do you primarily watch itswill for?","What's your favorite type of stream?","What types of itswill videos do you typically watch?","What is your favorite day-specific stream archetype?","What was your favorite itswill Special Edition Livestream?","What are your 3 favorite variety games/genres?","What is your favorite variety stream of all time?","What stream content would you most like to see come to life?","How do you typically discover the stream has started?","Do you have any Twitch extensions installed?","How much do you chat?","Has the itswill Livestream been a positive force in your life?","Are you a member of the itswill Discord server?","How many hours do you spend on Twitch per day? (average)","Other than itswill, how many streamers do you consistently watch?","How do you watch Twitch?","Which RuneScape games do you play?","Do you play Old School RuneScape?","What is your current age?","Are you right or left handed?","Do you identify as LGBTQ+?","What is your gender identity?","What is your sexuality?","What is your current relationship status?","What country are you from?","What country do you currently live in?","Do you have a driver's license?","Highest education level?","What is your current employment status?","What sports do you watch?","What sports do you play?","What types of games do you play?","What hobbies do you enjoy?","What's your favorite movie?","Have you read a book in the last 5 years?","Do you have a pet?","Type of subscription?","Was your subscription gifted?","How often do you interact with the itswill Discord?","What is your current total level in OSRS?","What game mode do you spend most of your time playing?","How many OSRS accounts do you have?","Have you ever gotten a fire cape?","Have you ever gotten an infernal cape?","What is your favorite skill in OSRS?","What is your least favorite skill in OSRS?","What OSRS content do you enjoy?","How do you feel about Sailing?","What state do you live in?","Do you work part or full time?","What's your field of work? ","Which kind of pets do you have?","Who would you like to see itswill collaborate with? (optional) ","What games would you like to see itswill play? (optional) ","What's your favorite emote? (optional) ","Who's your favorite chatter? (optional) ","When should the 15 minute buffer start?","Who's your favorite mod? (optional) ","Do you have any recommendations for overlay features? (optional)","Is hot chocolate a candy?","Is ""cock and balls"" redundant? Are the balls included in the definition of cock?","Have you ever worn pajama pants outside your house?","Have you ever cheated on a test?","Have you ever stolen something from the supermarket?","Do you think aliens exist?","Do you think ghosts exist?","Are you a furry?","How tall are you?","What's your number? Be honest."
"2025/04/18 7:42:55 PM EST","2025","YouTube recommendation","Often","Yes","1-2 days per week","1","Yes","No","Variety","Variety","Stream vods","Scary Saturday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Roguelike (Balatro, Nubby, Ballionaire);Themed variety days (All pizza games, 0 player games)","","Playing Dark Souls","I show up at 5pm PST","","Occasional chatter","No","No","<1","0","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","Canada","Canada","Yes","Master's degree","Employed","American Football;Basketball;Hockey","American Football;Endurance","Indie;RuneScape;RPGs;Board Games","Working out;Running;Reading;Watching movies;Gaming;Cooking","Sicario","Yes","No","Prime","No","","1251-1500","Ironman","3","Yes","No","Hitpoints","Hitpoints","Skilling","5","","Full time","Law","","Zezima","Mortuary Assistant","","You","5:01:00 (5:16:00 should be late)","TimeLion","","No","No","Yes","No","No","Yes","No","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 7:43:13 PM EST","2021","YouTube recommendation","Often","Yes","3-5 days per week","4","Yes","No","Old School Runescape","Variety","Stream vods","Scary Saturday","Ratchelor Valentines Day Special","Classics (Fallout, Dead Rising, Elder Scrolls);Retro games (PS1 Game Stream, Crazy Taxi, Twisted Metal);Minecraft (Speedruns, collaborations)","the porn watch party","Playing Dark Souls","I show up at 5pm PST","","Occasional chatter","No","No","1-2","0","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","In a relationship","New Zealand","Togo","Yes","Bachelor's degree","Student","itswill livestream","","FPS;RuneScape","Working out","moneyball","No","Yes","Prime","Yes","","2277","Main","1","Yes","Yes","Slayer","Agility","Bossing","3","","","","Bird","joe rogan","darksouls","","","5:00:01 (5:15:01 should be late)","","","Yes","No","No","Yes","Yes","Yes","No","No","6'-6'3"" (183cm-190cm)","2"
"2025/04/18 7:43:21 PM EST","2024","Collaboration with another creator","Every video","Yes","3-5 days per week","5","No","No","Variety","Variety","Main channel videos","Variety Friday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Themed variety days (All pizza games, 0 player games)","Poop Killer","Mario 64 16 Star","I show up at 5pm PST","BetterTTV;7TV","Occasional chatter","Yes","No","5-6","6+","Desktop","OSRS (main game)","Yes","24-29","Left","No","Male","Straight","Single","United States","United States","Yes","Bachelor's degree","Employed","American Football;Basketball","","FPS;Fighting Games;Roguelikes;MOBA;RuneScape;Other MMOs;Board Games","Working out;Hiking;Running;Listening to music;Gaming","Baby Driver","No","No","","","","1751-2000","Main","1","Yes","No","Magic","Runecraft","Bossing;Raiding","4","Colorado","Full time","Engineering","","Northernlion","League of Legends","Pog","you","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","No","No","Yes","No","No","No","5'4""-5'7"" (162cm-170cm)","1"
"2025/04/18 7:43:32 PM EST","2021","YouTube recommendation","Every video","Yes","1-2 days per week","5","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Variety Friday","Christmas Late Night Special 2024","Roguelike (Balatro, Nubby, Ballionaire);Soulslikes (Elden Ring, maybe Dark Souls eventually copeggy);Classics (Fallout, Dead Rising, Elder Scrolls)","Simpsons hit and run","Mariachi Band","Twitch notification","BetterTTV;7TV","Active chatter","Yes","No","3-4","1-2","Desktop","OSRS (main game)","Yes","24-29","Right","No","Male","Straight","Single","United States","United States","Yes","Bachelor's degree","Employed","Hockey;F1 / Motorsports;UFC","","Indie;Roguelikes;RuneScape;Other MMOs","Working out;Hiking;Reading;Listening to music;Watching television;Watching movies;Gaming;Cooking","Spirited Away","Yes","Yes","Tier 1","No","","2277","Ironman","2","Yes","Yes","Woodcutting","Fletching","Skilling;Slayer;Pet hunting;Collection log hunting","2","Illinois","Full time","Aerospace","Dog;Cat;Snake","Moonmoon/Clint Stevens","anything","CAUGHT","wetmeaty","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","1 more ant lifting","No","No","Yes","Yes","No","Yes","No","No","5'8""-5'11 (172cm-180cm)","2"
"2025/04/18 7:43:38 PM EST","2021","YouTube series (i.e. Gielinor Games)","Every video","Yes","Every stream","5","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Scary Saturday","Card Grading Special (If you pick this your entire survey will be discarded)","Horror (Poop Killer, itch.io horror);Roguelike (Balatro, Nubby, Ballionaire);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing)","Balatro (:","Mario 64 16 Star","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Lurker","Yes","Yes","","","","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","Single","United States","United States","Yes","High school","Employed","","","FPS;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs","Listening to music;Gaming;Cooking","Willy's Wonderland","Yes","No","Tier 1","No","Never","2277","Main","1","Yes","No","Mining","Slayer","Skilling;Pet hunting","5","Utah","Full time","IT","","Squeex","League of Legends","I don't chat","ItsWillChat","5:00:01 (5:15:01 should be late)","lusciousdev","","No","No","Yes","No","Yes","No","Yes","No","6'-6'3"" (183cm-190cm)","7"
"2025/04/18 7:43:42 PM EST","2024","Twitch recommendation","Often","Yes","3-5 days per week","5","No","No","Variety","Variety","Stream vods","Scary Saturday","$52 Streaming Setup","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire)","","Mario 64 16 Star","Twitch notification","","Lurker","Yes","No","1-2","0","Desktop","","No","18-23","Right","Yes","Male","Bisexual","Single","United States","United States","Yes","Less than high school","NEET","","","Roguelikes;Other MMOs","Working out;Listening to music;Gaming","Trainspotting","Yes","Yes","","","","","","","","","","","","","Georgia","","","Dog","","Poker","","","5:01:00 (5:16:00 should be late)","VTheVictim","","No","No","Yes","Yes","No","Yes","Yes","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 7:43:43 PM EST","2021","Other creator mentioned him","Often","Yes","1-2 days per week","5","No","No","Old School Runescape","Variety","Main channel videos","Variety Friday","Christmas Late Night Special 2024","Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","","Mario 64 16 Star","Twitch sidebar","BetterTTV","Lurker","Yes","No","5-6","1-2","Mobile/Tablet","OSRS (main game);OSRS (leagues)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Unemployed","American Football;Basketball;Hockey","Basketball;Soccer / Football","FPS;RuneScape;Sports Video Games","Working out;Watching television;Gaming","Dazed and confused ","No","Yes","","","","2201-2276","Ironman","3","Yes","Yes","Farming","Agility","Skilling;Slayer;Bossing","3","Texas","","","Dog","","","","","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","No","Yes","Yes","Yes","Yes","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 7:43:52 PM EST","2020","Other creator mentioned him","Often","Yes","Every stream","5","Yes","Yes","Old School Runescape","Pet Hunting","Main channel videos","Skree Sunday","Christmas Cooking Stream 2023","Horror (Poop Killer, itch.io horror);Roguelike (Balatro, Nubby, Ballionaire);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car)","Desert Bus","Playing every Garfield game","I hang out in the offline chat","BetterTTV;7TV;FrankerFaceZ","Active chatter","No","Yes","","","","","No","30-35","Right","No","Male","Straight","Single","New Zealand","New Zealand","Yes","Master's degree","Employed","American Football;Basketball;Soccer / Football;Cricket;F1 / Motorsports;Rugby League","","Roguelikes","Working out;Hiking;Reading;Watching television;Watching movies;Cooking","Parasite","Yes","No","Prime","No","Infrequently","","","","","","","","","","","Full time","Manufacturing","","Hasanabi","More Balatro","CokeShakey ","Snoopy","5:00:01 (5:15:01 should be late)","Amehzyn","No","No","No","No","Yes","Yes","No","No","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 7:44:11 PM EST","2020","Twitch recommendation","Often","Yes","3-5 days per week","5","Yes","No","Old School Runescape","Pet Hunting","Main channel videos","Skree Sunday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Roguelike (Balatro, Nubby, Ballionaire)","First TCG Simulator stream","Mario 64 16 Star","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Occasional chatter","Yes","No","9-10","3-4","Desktop","OSRS (main game);OSRS (leagues)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","High school","Employed","American Football;Basketball;Baseball;Hockey","","FPS;Roguelikes;RuneScape","Listening to music;Gaming;Photography","The Italian Job","Yes","Yes","Tier 1","No","","2101-2200","Main","2","Yes","No","Ranged","Slayer","Skilling;Slayer;Bossing;Raiding;PvP;Pet hunting;Collection log hunting","4","California","Full time","Technology","Dog;Cat","","Any","itswillExplain","Snoopy","5:00:01 (5:15:01 should be late)","hello_snoopy","","No","No","Yes","Yes","No","Yes","Yes","No","5'8""-5'11 (172cm-180cm)","2"
"2025/04/18 7:44:17 PM EST","2025","YouTube series (i.e. Gielinor Games)","Often","No","1-2 days per week","3","No","No","Variety","Variety","Stream vods","Scary Saturday","Ratchelor Valentines Day Special","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Retro games (PS1 Game Stream, Crazy Taxi, Twisted Metal)","","Undeniable Proof of Aliens Slideshow","I show up at 5pm PST","","Occasional chatter","No","No","<1","0","Desktop","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","MMA","","FPS;RuneScape;RPGs","Reading;Photography;Writing","Grand Budapest Hotel","Yes","Yes","","","","1751-2000","Main","1","Yes","No","Farming","Agility","Pet hunting","1","Washington","Full time","Journalism","Dog","","","","","5:00:01 (5:15:01 should be late)","","","No","No","No","No","No","Yes","No","No","5'8""-5'11 (172cm-180cm)","1"
"2025/04/18 7:44:27 PM EST","2021","Twitch recommendation","Every video","Yes","Every stream","5","Yes","No","Variety","Variety","Stream vods;Main channel videos","Scary Saturday","Christmas Late Night Special 2024","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Classics (Fallout, Dead Rising, Elder Scrolls)","When you stopped doing scurrius","Undeniable Proof of Aliens Slideshow","I show up at 5pm PST","BetterTTV;7TV;FrankerFaceZ","Lurker","Yes","No","7-8","1-2","Desktop","OSRS (main game);OSRS (leagues);OSRS Private Servers","Yes","30-35","Right","Yes","Male","Gay","It's Complicated","Canada","Canada","Yes","Bachelor's degree","Employed","Hockey;F1 / Motorsports","Gnomeball","FPS;RuneScape;Other MMOs;RPGs","Listening to music;Watching movies;Gaming","Sharknado","Yes","Yes","Prime","No","","2101-2200","Main","3","Yes","No","Hitpoints","Attack","Slayer;Bossing;Pet hunting;Collection log hunting","3","","Full time","Software Development","Dog","Amouranth","Irl","Itswill7","Not clipper","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","Subway surfer","No","No","Yes","Yes","No","No","No","No","5'8""-5'11 (172cm-180cm)","2"
"2025/04/18 7:44:29 PM EST","2020","YouTube recommendation","Every video","Yes","Every stream","5","Yes","No","Old School Runescape","Variety","Stream vods;Main channel videos","Scary Saturday","$52 Streaming Setup","Horror (Poop Killer, itch.io horror);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing);Themed variety days (All pizza games, 0 player games)","Poop killer saga","Playing every Garfield game","Discord notification","7TV","Occasional chatter","Yes","Yes","","","","OSRS (main game)","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football","","Roguelikes;RuneScape","Working out;Hiking;Reading;Listening to music;Watching television;Watching movies;Gaming;Cooking","Anchorman","Yes","Yes","Tier 1","No","Daily","2277","Ironman","4","Yes","Yes","Fishing","Construction","Skilling;Slayer;Bossing;Raiding;PvP;Pet hunting;Collection log hunting","3","Alabama","Full time","Software Development","Dog;Cat","Mr Mammal","n64 classics","itsWillDancy","snoopy","5:00:01 (5:15:01 should be late)","lusciousdev","","No","No","Yes","Yes","Yes","Yes","Yes","No","6'-6'3"" (183cm-190cm)","3"
"2025/04/18 7:44:31 PM EST","2023","YouTube recommendation","Rarely / When I miss a stream","Yes","Every stream","5","Yes","Yes","Variety","Variety","Stream vods;Main channel videos","Scary Saturday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Indie hits (Webfishing, Dungeons of Blood and Dream, My Summer Car);Minecraft (Speedruns, collaborations)","my favorite is when Will pretended to be in a cave all stream","Mario 64 16 Star","Discord notification","BetterTTV;7TV","Active chatter","Yes","Yes","","","","OSRS (main game);OSRS (leagues);2004Scape","Yes","30-35","Right","No","Male","Straight","In a relationship","United States","United States","Yes","Bachelor's degree","Employed","American Football;Baseball;Soccer / Football","American Football;Baseball","FPS;RuneScape;Other MMOs","Listening to music;Watching television;Watching movies;Gaming;Cooking","the matrix","Yes","Yes","Prime","No","Infrequently","2277","Main","6+","Yes","Yes","Slayer","Runecraft","Slayer;Bossing","4","New York","Full time","Technology","Dog","squeex","any variety","itswillpoop","me","5:01:00 (5:16:00 should be late)","None of the above, all mods are bastards","nope","No","No","Yes","Yes","Yes","Yes","No","No","6'-6'3"" (183cm-190cm)","1"
"2025/04/18 7:44:32 PM EST","2025","Collaboration with another creator","Often","No","3-5 days per week","5","No","No","Variety","Variety","Stream vods","Variety Friday","$52 Streaming Setup","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Streamer torture (Unaccessible, Only Up, A Difficult Games About Climbing)","","Every Lays flavor tier list","Twitch sidebar","BetterTTV;7TV","Lurker","Yes","No","7-8","5-6","Desktop","","No","30-35","Right","No","Male","Straight","Single","United States","United States","Yes","Master's degree","Employed","American Football;Basketball","Basketball","FPS;Roguelikes;RPGs","Watching movies;Gaming;Photography","Zodiac","Yes","No","","","","","","","","","","","","","Illinois","Full time","Science & Research","","Squeex","","","","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","No","Yes","Yes","Yes","No","No","6'-6'3"" (183cm-190cm)","6"
"2025/04/18 7:44:36 PM EST","2024","YouTube series (i.e. Gielinor Games)","Often","Yes","1-2 days per week","4","No","No","Variety","Variety","Main channel videos","Scary Saturday","April Fools [HARDCORE]","Horror (Poop Killer, itch.io horror);Hitman;Themed variety days (All pizza games, 0 player games)","","Playing Dark Souls","Twitch sidebar","FrankerFaceZ","Lurker","No","No","1-2","1-2","Desktop","OSRS (main game)","No","24-29","Right","Yes","Male","Bisexual","Single","United States","United States","Yes","Bachelor's degree","Employed","","Frisbee","FPS;Fighting Games;Indie;Roguelikes;MOBA;RuneScape;Other MMOs;RPGs;Board Games","Working out;Running;Listening to music;Watching television;Gaming;Cooking;Playing an instrument","The Lion King","Yes","Yes","","","","","","","","","","","","","Michigan","Full time","Software Development","Dog","The ""end stream"" button","","IJBOL","","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","","No","No","Yes","No","No","No","No","No","6'-6'3"" (183cm-190cm)","3"
"2025/04/18 7:44:37 PM EST","2024","Twitch recommendation","Never","No","1-2 days per week","3","No","No","Variety","Variety","","Variety Friday","$52 Streaming Setup","Horror (Poop Killer, itch.io horror);Simulator (Schedule 1, TCG Card Shop Sim);Minecraft (Speedruns, collaborations)","","Mario 64 16 Star","Twitch sidebar","7TV","Lurker","No","No","3-4","6+","Desktop","OSRS (main game)","No","24-29","Right","Yes","Non-binary","Lesbian","It's Complicated","Netherlands","Netherlands","No","Less than high school","NEET","","","RuneScape","Drawing / Art","Marvel","Yes","No","","","","","","","","","","","","","","","","","chiblee","chess","Twitchconhype","","5:00:01 (5:15:01 should be late)","None of the above, all mods are bastards","countdown timer to end of stream","No","No","No","No","No","Yes","No","Yes","5'8""-5'11 (172cm-180cm)","4"
